fruit_type,freshness,temp_c,humidity_pct,mq135_co2_ppm,mq3_alcohol_ppm,mq4_methane_ppm,mq137_ammonia_ppm,mq138_benzene_ppm,spoilage_index
Banana,Spoiled,20.7,66.1,1396.3,1137.0,320.1,87.2,233.1,0.696
Banana,Fresh,21.1,52.8,170.4,17.2,12.1,2.8,5.3,0.239
Banana,Spoiled,14.1,88.8,1207.8,757.8,239.8,48.7,193.4,0.922
Banana,Fresh,30.5,50.1,208.7,31.2,9.0,4.6,4.6,0.14
Apple,Moderately Fresh,27.1,67.6,567.1,66.4,33.0,14.7,15.0,0.267
Banana,Fresh,21.5,64.0,168.7,25.6,9.3,4.9,5.8,0.224
Orange,Spoiled,31.6,64.3,2471.2,760.9,354.3,104.3,230.1,0.876
Orange,Spoiled,15.5,65.1,988.2,849.3,248.0,75.3,181.7,0.901
Orange,Moderately Fresh,27.2,67.2,515.3,103.1,27.3,13.1,10.1,0.608
Banana,Fresh,23.7,86.4,170.4,24.3,9.3,2.8,4.5,0.061
Banana,Spoiled,12.4,54.7,1085.3,749.5,219.6,64.1,146.0,0.9
Orange,Moderately Fresh,30.0,52.0,450.0,69.0,27.6,16.3,20.0,0.373
Banana,Fresh,16.3,65.0,194.2,21.9,5.0,2.7,4.7,0.248
Apple,Fresh,25.7,54.8,164.7,23.3,8.3,2.6,3.1,0.1
Apple,Spoiled,20.1,65.8,1029.8,876.3,195.2,89.9,202.9,0.87
Banana,Moderately Fresh,24.1,72.3,480.9,91.6,46.5,13.5,42.8,0.319
Apple,Fresh,20.7,72.3,176.9,21.0,9.3,2.5,6.1,0.081
Banana,Spoiled,28.3,71.3,2156.3,1210.1,232.3,107.2,270.5,0.679
Banana,Fresh,31.6,60.8,206.3,18.0,14.9,2.3,5.2,0.214
Banana,Spoiled,25.0,86.2,1711.3,1000.0,320.4,93.1,170.7,0.731
Apple,Spoiled,25.3,67.9,1336.6,756.3,308.9,101.1,243.8,0.738
Banana,Fresh,16.3,61.2,171.2,18.5,5.5,2.7,5.5,0.165
Apple,Fresh,23.8,71.9,211.7,30.7,11.9,1.6,3.8,0.213
Orange,Fresh,29.8,62.1,258.7,30.2,4.3,4.1,5.5,0.116
Orange,Moderately Fresh,30.3,79.7,557.4,63.1,19.9,6.6,24.8,0.566
Banana,Fresh,20.1,64.8,191.8,18.4,10.8,4.3,3.7,0.004
Banana,Spoiled,31.0,85.3,1777.1,971.3,293.8,138.1,196.2,0.72
Banana,Fresh,27.5,82.4,181.1,21.8,11.6,3.0,6.2,0.029
Apple,Spoiled,31.6,52.4,1023.2,1334.3,304.9,111.1,182.6,0.741
Apple,Moderately Fresh,22.7,55.5,543.4,55.5,27.2,14.8,24.9,0.412
Banana,Moderately Fresh,19.3,50.7,325.8,38.2,46.0,8.4,27.0,0.311
Banana,Moderately Fresh,23.8,78.6,556.2,50.3,58.2,14.2,37.8,0.602
Apple,Fresh,12.5,68.6,167.3,21.6,8.9,4.0,2.1,0.037
Banana,Moderately Fresh,30.5,81.3,637.0,93.7,50.6,15.4,49.4,0.585
Apple,Moderately Fresh,16.7,66.0,444.3,64.4,31.7,8.7,17.4,0.455
Banana,Moderately Fresh,15.0,71.9,372.1,76.6,34.7,8.5,43.0,0.52
Apple,Fresh,30.7,65.7,286.3,34.6,8.8,0.9,7.0,0.247
Apple,Moderately Fresh,19.5,77.2,490.7,73.9,25.6,10.6,26.6,0.293
Orange,Moderately Fresh,12.7,66.1,453.2,56.8,23.7,7.7,16.3,0.5
Apple,Moderately Fresh,30.6,60.0,503.4,86.9,30.0,11.7,25.7,0.535
Apple,Moderately Fresh,25.8,76.3,405.7,53.5,39.6,13.4,11.2,0.285
Apple,Moderately Fresh,19.7,78.0,496.7,80.8,22.5,5.5,22.3,0.364
Apple,Moderately Fresh,28.7,73.1,563.9,40.3,25.0,8.5,12.4,0.354
Banana,Moderately Fresh,28.3,69.9,628.9,88.2,49.8,12.4,41.0,0.54
Apple,Fresh,19.5,73.4,185.0,20.0,8.1,2.5,5.8,0.132
Banana,Moderately Fresh,28.5,77.4,613.0,54.2,54.1,11.3,50.8,0.375
Banana,Moderately Fresh,27.1,79.1,498.6,83.8,54.2,12.6,44.0,0.506
Orange,Moderately Fresh,24.2,79.1,433.9,88.4,31.9,8.4,25.2,0.418
Orange,Moderately Fresh,18.5,50.3,400.5,51.2,29.5,8.7,24.8,0.447
Banana,Moderately Fresh,30.8,79.6,585.8,98.8,55.3,18.7,36.8,0.492
Banana,Moderately Fresh,26.5,55.8,567.3,86.1,40.6,10.1,38.9,0.338
Orange,Moderately Fresh,16.7,61.4,417.9,69.4,18.6,7.8,14.3,0.61
Orange,Moderately Fresh,15.3,52.0,376.2,77.9,21.0,9.3,25.5,0.483
Orange,Moderately Fresh,29.8,67.0,478.0,58.9,14.9,15.6,27.0,0.339
Orange,Spoiled,22.4,76.7,1419.9,793.5,290.4,74.4,175.9,0.857
Apple,Fresh,21.2,77.5,172.3,22.9,10.6,2.8,4.0,0.12
Apple,Spoiled,31.8,54.6,1867.1,858.1,382.0,93.5,279.4,0.873
Apple,Fresh,24.5,69.2,147.3,23.9,11.9,3.7,6.1,0.122
Banana,Moderately Fresh,14.0,79.7,389.5,65.7,43.8,8.7,31.8,0.492
Orange,Fresh,26.9,73.0,230.0,25.0,7.7,2.8,6.4,0.204
Apple,Fresh,26.0,77.3,241.5,8.6,10.4,3.3,6.6,0.18
Banana,Spoiled,27.0,52.7,1320.4,1030.3,304.5,85.4,206.6,0.847
Orange,Moderately Fresh,19.6,55.4,447.3,98.7,16.9,11.0,20.5,0.419
Banana,Spoiled,18.4,53.0,1236.5,927.1,226.1,70.3,164.0,0.88
Orange,Moderately Fresh,28.0,61.7,436.2,124.5,31.1,8.5,21.9,0.619
Apple,Spoiled,12.1,69.7,853.0,682.1,230.9,87.1,144.5,0.717
Orange,Moderately Fresh,24.1,70.5,488.9,82.9,22.8,7.3,15.9,0.335
Banana,Spoiled,17.2,85.6,1607.7,948.5,186.0,91.9,189.4,0.998
Apple,Spoiled,12.8,52.1,1077.4,935.1,256.1,58.1,192.0,0.934
Banana,Moderately Fresh,29.8,80.1,471.8,68.8,43.8,8.8,52.7,0.456
Banana,Moderately Fresh,21.3,85.3,522.4,76.0,50.5,13.5,40.4,0.268
Banana,Moderately Fresh,24.6,86.9,495.2,59.5,53.0,9.9,34.7,0.413
Banana,Moderately Fresh,15.6,64.1,415.8,47.9,33.6,10.5,30.1,0.397
Banana,Spoiled,30.8,77.9,1919.8,896.7,249.9,94.7,215.5,0.676
Apple,Fresh,23.6,75.5,148.2,14.2,7.8,2.2,5.8,0.063
Apple,Moderately Fresh,28.2,74.4,570.7,87.2,24.2,10.7,27.5,0.553
Banana,Fresh,30.8,58.5,188.3,20.4,10.8,2.9,8.9,0.016
Orange,Moderately Fresh,26.5,88.1,554.6,94.1,35.6,11.9,21.7,0.33
Orange,Fresh,31.4,73.9,235.5,24.5,7.4,3.7,6.3,0.021
Banana,Fresh,20.4,59.1,243.9,15.0,12.2,3.1,6.4,0.218
Banana,Moderately Fresh,19.8,51.9,355.0,53.6,45.0,10.3,40.9,0.589
Orange,Fresh,21.2,67.7,162.3,14.8,11.1,3.0,6.6,0.092
Apple,Moderately Fresh,15.6,53.2,486.2,42.9,14.5,7.8,15.1,0.416
Apple,Fresh,19.9,68.4,202.3,13.7,12.0,1.3,4.3,0.191
Apple,Fresh,13.2,68.8,183.5,19.0,7.2,3.6,5.0,0.067
Orange,Spoiled,12.6,53.8,1620.4,565.2,225.1,62.7,130.1,0.673
Banana,Spoiled,25.5,70.3,1987.4,1077.8,214.1,120.1,199.7,0.767
Apple,Moderately Fresh,12.2,75.3,431.8,63.1,17.1,9.6,14.4,0.398
Orange,Fresh,19.4,63.8,145.7,23.1,11.8,2.1,5.4,0.018
Apple,Fresh,21.5,63.7,238.7,22.0,9.3,0.9,5.8,0.029
Orange,Moderately Fresh,19.9,70.7,389.6,99.2,14.6,11.8,23.7,0.513
Apple,Fresh,27.2,82.8,243.7,22.1,13.7,3.8,8.8,0.204
Apple,Moderately Fresh,15.6,72.0,446.8,88.2,29.1,8.1,17.7,0.504
Apple,Spoiled,19.7,85.0,1597.5,683.3,225.9,99.9,131.3,0.785
Apple,Moderately Fresh,19.8,74.3,408.3,83.3,35.8,9.6,17.9,0.313
Orange,Moderately Fresh,12.5,60.3,340.7,46.8,25.2,9.2,15.5,0.334
Orange,Spoiled,31.2,60.0,1972.0,845.8,192.5,112.2,202.1,0.721
Orange,Fresh,23.4,73.8,198.1,25.5,6.2,3.3,5.7,0.069
Apple,Fresh,12.3,75.9,150.8,25.9,12.7,2.1,5.8,0.249
Banana,Moderately Fresh,29.1,70.6,620.6,78.8,55.9,12.0,55.7,0.618
Apple,Spoiled,30.4,80.0,1578.8,1252.7,252.3,87.9,194.2,0.956
Orange,Spoiled,30.2,74.1,1720.9,938.8,228.8,127.0,181.3,0.867
Apple,Moderately Fresh,31.2,74.2,587.2,78.9,30.7,11.9,20.9,0.391
Banana,Fresh,20.3,51.0,155.5,25.6,8.7,3.0,7.2,0.118
Apple,Spoiled,15.7,55.1,1550.7,712.8,218.2,67.1,165.3,0.736
Apple,Moderately Fresh,16.7,82.7,415.7,53.2,32.7,6.3,20.3,0.274
Orange,Moderately Fresh,27.6,78.9,506.2,98.3,29.4,8.8,22.1,0.587
Apple,Fresh,31.2,50.3,202.4,29.9,7.5,4.4,7.1,0.012
Orange,Moderately Fresh,20.5,62.5,420.8,63.6,24.9,10.4,25.1,0.301
Orange,Fresh,21.3,82.9,186.0,15.2,6.2,2.3,4.5,0.063
Apple,Moderately Fresh,30.2,82.7,603.9,97.1,32.9,14.1,30.3,0.539
Banana,Fresh,20.8,80.0,197.9,25.8,7.5,3.9,4.0,0.208
Orange,Fresh,24.7,86.9,166.7,15.0,15.7,3.9,3.7,0.029
Apple,Moderately Fresh,14.6,51.5,300.9,63.7,18.1,5.0,20.9,0.482
Banana,Moderately Fresh,26.0,74.2,530.4,52.6,59.2,12.0,45.2,0.347
Banana,Spoiled,28.1,55.6,1363.4,1272.7,330.0,87.7,224.6,0.941
Banana,Moderately Fresh,15.1,87.8,391.0,65.6,38.9,11.6,37.8,0.558
Apple,Fresh,31.4,60.2,223.3,16.5,11.2,4.0,4.3,0.123
Apple,Fresh,26.6,66.5,225.5,25.9,8.1,2.8,9.1,0.067
Apple,Moderately Fresh,18.3,56.6,437.5,54.7,29.7,12.6,23.8,0.297
Apple,Moderately Fresh,25.0,72.8,562.5,80.1,11.6,11.9,34.5,0.533
Orange,Spoiled,31.8,73.6,2033.9,981.8,370.4,93.8,273.7,0.861
Orange,Moderately Fresh,20.1,83.1,347.5,58.8,21.2,10.1,20.6,0.304
Apple,Spoiled,23.3,83.0,1254.9,1120.1,258.8,101.9,135.6,0.731
Banana,Fresh,20.6,50.3,142.6,19.0,10.6,0.9,5.3,0.086
Apple,Moderately Fresh,20.0,75.0,482.5,86.7,17.3,7.0,13.8,0.302
Apple,Spoiled,22.5,61.8,1346.5,556.6,258.9,80.4,206.6,0.684
Apple,Moderately Fresh,15.0,73.0,415.6,74.9,11.5,13.5,17.8,0.273
Banana,Fresh,23.4,77.4,131.5,21.8,8.8,2.1,5.0,0.052
Orange,Moderately Fresh,23.3,80.7,450.1,82.4,31.3,11.9,23.2,0.391
Orange,Spoiled,22.4,52.8,1635.3,922.9,220.9,98.5,128.8,0.74
Banana,Fresh,26.2,62.8,184.2,17.9,11.2,2.8,6.9,0.222
Banana,Moderately Fresh,14.0,59.6,417.3,60.8,29.6,8.8,37.4,0.427
Apple,Spoiled,20.2,70.5,1474.6,856.2,221.1,106.5,269.4,0.757
Orange,Fresh,15.1,79.7,211.1,21.9,3.5,2.7,5.2,0.206
Orange,Moderately Fresh,22.9,52.5,489.4,101.2,19.9,12.9,9.3,0.348
Banana,Spoiled,22.3,88.4,1633.9,1015.8,172.2,76.7,176.1,0.713
Banana,Spoiled,12.7,81.4,1229.0,575.2,239.1,64.4,154.5,0.789
Banana,Fresh,18.2,62.5,159.2,16.8,13.2,3.0,3.8,0.033
Banana,Moderately Fresh,24.6,67.8,488.2,71.2,41.3,12.4,31.6,0.375
Banana,Moderately Fresh,25.7,59.0,629.7,97.4,54.6,10.7,50.3,0.647
Banana,Moderately Fresh,31.8,87.4,504.2,80.4,44.3,13.7,47.8,0.591
Apple,Fresh,21.2,72.1,203.8,23.6,9.5,3.7,6.6,0.147
Orange,Moderately Fresh,26.2,84.3,412.2,94.5,31.7,12.4,22.6,0.262
Apple,Fresh,15.5,79.4,176.2,15.3,7.3,2.0,3.9,0.212
Apple,Moderately Fresh,24.2,79.0,473.7,82.9,23.2,8.8,25.1,0.513
Orange,Fresh,30.9,77.1,236.4,20.9,8.4,3.9,4.5,0.042
Apple,Spoiled,12.6,69.6,1230.1,821.8,165.8,75.3,168.4,0.998
Banana,Spoiled,14.8,70.8,1698.2,643.8,196.9,79.0,224.7,0.667
Apple,Fresh,24.9,50.2,154.5,24.4,8.9,3.5,5.3,0.079
Apple,Fresh,24.3,75.3,169.1,17.8,8.7,4.0,7.1,0.219
Orange,Fresh,13.5,74.1,164.7,5.9,7.1,2.4,4.3,0.149
Apple,Moderately Fresh,23.6,69.0,418.9,68.1,31.1,10.8,20.1,0.408
Orange,Spoiled,14.0,76.7,1241.2,746.5,227.4,51.7,140.5,0.794
Banana,Spoiled,21.0,87.2,1370.4,680.7,309.1,96.6,234.3,0.778
Orange,Fresh,13.8,80.4,174.7,9.1,9.3,2.4,4.3,0.166
Banana,Moderately Fresh,30.2,68.6,450.9,96.2,55.2,6.5,38.0,0.608
Apple,Moderately Fresh,23.1,67.9,484.6,73.7,29.7,7.8,29.0,0.508
Banana,Moderately Fresh,26.1,68.4,645.2,77.3,49.9,9.2,47.2,0.296
Banana,Spoiled,12.6,86.5,935.1,751.0,198.0,81.7,165.8,0.848
Orange,Spoiled,15.2,69.2,1152.9,984.6,295.4,70.6,125.0,0.702
Apple,Moderately Fresh,24.0,62.6,425.2,80.3,14.9,11.7,20.6,0.409
Banana,Moderately Fresh,17.3,55.4,435.7,89.7,33.2,10.9,30.9,0.643
Apple,Moderately Fresh,31.6,85.5,563.1,75.8,35.2,11.8,17.3,0.502
Apple,Spoiled,20.8,61.4,1819.4,686.6,222.9,92.1,143.4,0.833
Banana,Moderately Fresh,16.3,60.5,442.8,84.2,54.0,11.0,27.4,0.607
Apple,Moderately Fresh,15.7,53.7,359.4,75.6,23.7,11.2,18.4,0.589
Orange,Spoiled,14.9,54.9,1052.0,830.0,207.5,78.1,145.2,0.923
Banana,Spoiled,15.0,71.0,1062.4,633.2,233.3,59.2,171.4,0.754
Orange,Fresh,23.7,89.9,201.0,18.6,8.7,3.5,6.7,0.123
Orange,Spoiled,30.1,75.1,2265.7,982.7,330.7,81.8,231.5,0.918
Banana,Spoiled,18.0,60.4,939.9,696.6,268.1,59.0,154.4,0.741
Apple,Moderately Fresh,17.5,61.9,577.2,71.1,28.9,11.9,14.3,0.533
Apple,Spoiled,22.1,89.9,1885.8,1024.1,248.6,81.0,156.6,0.709
Apple,Fresh,29.1,59.3,216.8,36.0,9.0,2.8,4.6,0.082
Orange,Moderately Fresh,23.8,57.2,496.9,74.5,26.1,12.6,17.8,0.406
Banana,Spoiled,31.5,80.5,1177.3,1049.0,365.8,78.0,226.1,0.905
Banana,Moderately Fresh,13.8,77.5,395.7,66.0,40.1,6.2,26.5,0.327
Apple,Moderately Fresh,16.2,58.7,412.5,91.6,27.1,9.8,8.3,0.349
Banana,Moderately Fresh,20.8,86.3,566.2,54.5,58.0,8.9,30.7,0.284
Banana,Spoiled,14.4,88.8,1679.1,797.1,304.6,72.8,185.3,0.852
Banana,Spoiled,23.4,82.9,1729.9,906.3,242.6,69.6,176.9,0.789
Orange,Fresh,16.2,87.1,174.6,19.4,10.1,3.8,2.8,0.172
Apple,Spoiled,19.8,64.1,2010.2,874.2,286.3,85.6,218.8,0.764
Banana,Moderately Fresh,21.7,88.0,423.0,85.9,45.1,9.8,44.4,0.562
Apple,Spoiled,25.0,85.6,1589.8,710.3,294.8,72.8,207.7,0.708
Apple,Moderately Fresh,23.2,79.7,607.7,70.8,31.8,12.7,21.8,0.441
Banana,Spoiled,25.2,73.5,1712.0,925.0,304.4,97.2,232.2,0.971
Banana,Spoiled,19.1,65.0,1717.6,897.0,301.9,108.3,140.6,0.909
Apple,Fresh,31.3,85.6,199.8,30.0,13.5,3.4,4.8,0.003
Banana,Spoiled,19.3,67.9,1838.5,838.3,279.3,60.7,188.3,0.875
Orange,Fresh,27.3,52.7,235.3,13.4,9.4,3.3,4.5,0.154
Orange,Moderately Fresh,28.9,75.4,498.5,94.1,25.1,15.4,24.3,0.568
Banana,Spoiled,21.9,60.2,1111.9,840.4,280.7,85.4,222.7,0.904
Orange,Spoiled,24.4,66.3,1403.3,903.5,230.9,82.6,146.1,0.7
Banana,Fresh,28.4,73.8,243.8,21.4,16.3,2.2,5.3,0.039
Banana,Fresh,12.8,55.3,173.2,11.3,11.3,1.2,4.8,0.208
Banana,Moderately Fresh,23.6,86.0,539.6,77.4,50.0,8.7,42.7,0.646
Banana,Fresh,14.6,52.5,180.1,15.2,8.3,2.4,4.5,0.111
Apple,Fresh,30.2,55.5,153.0,25.1,11.7,3.7,5.4,0.16
Banana,Moderately Fresh,12.2,68.0,424.0,65.8,37.3,10.4,27.9,0.453
Apple,Moderately Fresh,19.1,64.2,373.6,84.4,20.0,7.7,26.0,0.317
Orange,Moderately Fresh,12.4,54.5,370.7,68.0,29.3,6.9,20.2,0.573
Orange,Spoiled,27.6,53.6,1717.6,903.3,330.6,120.9,233.9,0.672
Apple,Moderately Fresh,19.0,55.2,439.7,87.3,15.0,6.8,23.7,0.381
Apple,Fresh,16.8,85.8,187.9,11.8,7.5,3.5,6.4,0.23
Banana,Moderately Fresh,31.0,63.1,450.8,101.3,56.7,8.7,50.9,0.646
Apple,Fresh,25.6,81.5,225.4,12.5,10.9,2.3,5.9,0.169
Orange,Fresh,29.9,88.0,217.3,24.9,10.3,4.5,1.5,0.093
Orange,Spoiled,28.3,88.6,1736.0,744.3,323.3,108.3,217.4,0.769
Orange,Moderately Fresh,23.9,51.3,424.4,46.5,31.0,11.0,26.9,0.489
Orange,Fresh,14.5,74.5,168.9,13.0,9.6,4.0,3.7,0.004
Orange,Fresh,16.2,60.1,158.8,15.2,9.1,1.1,5.4,0.018
Orange,Moderately Fresh,28.5,60.1,533.7,73.2,25.8,12.0,20.9,0.324
Banana,Fresh,26.0,73.6,193.2,13.0,10.3,3.3,5.8,0.071
Apple,Fresh,15.1,59.4,146.0,13.4,10.0,1.5,4.4,0.152
Banana,Spoiled,24.4,81.5,1634.6,1186.1,307.4,104.8,191.8,0.831
Apple,Moderately Fresh,31.9,81.7,644.5,108.4,36.4,13.7,21.5,0.638
Apple,Fresh,15.7,72.4,150.2,19.5,5.7,1.8,5.5,0.179
Banana,Spoiled,17.3,85.5,1566.3,771.0,209.1,83.8,251.2,0.883
Banana,Moderately Fresh,27.5,84.9,477.6,80.0,48.0,13.4,28.6,0.286
Apple,Fresh,29.8,86.1,175.6,23.4,6.9,4.7,1.4,0.072
Banana,Fresh,24.1,72.7,237.0,17.4,8.5,3.4,6.1,0.013
Apple,Fresh,12.0,87.4,152.6,20.4,10.7,1.2,3.7,0.17
Banana,Spoiled,19.5,57.9,1279.8,884.4,299.3,99.6,130.8,0.845
Apple,Fresh,18.8,54.1,172.4,25.6,9.1,4.2,5.4,0.034
Banana,Spoiled,24.6,89.5,1602.7,998.5,298.7,101.8,173.2,0.688
Orange,Fresh,24.5,76.4,226.9,21.1,10.6,2.6,5.1,0.116
Orange,Spoiled,20.0,68.2,1072.6,868.4,258.0,70.7,166.8,0.915
Orange,Moderately Fresh,30.2,78.5,539.2,86.8,40.1,12.3,17.7,0.388
Orange,Fresh,17.5,86.7,201.9,14.2,8.6,3.7,2.9,0.033
Orange,Spoiled,15.2,65.2,1326.6,876.9,194.5,98.3,184.8,0.828
Orange,Moderately Fresh,16.1,63.9,384.3,34.8,21.4,7.9,16.5,0.312
Banana,Fresh,20.1,88.3,195.8,16.2,6.9,2.9,4.7,0.093
Apple,Moderately Fresh,27.0,82.0,600.3,87.2,22.1,10.5,27.6,0.291
Apple,Moderately Fresh,31.9,75.2,589.3,79.2,29.0,14.5,27.4,0.321
Apple,Fresh,16.0,58.7,152.2,17.0,9.0,3.5,4.3,0.128
Apple,Moderately Fresh,26.7,59.2,578.4,51.9,39.3,10.7,16.4,0.381
Apple,Fresh,21.9,67.6,183.4,18.5,14.0,2.5,4.8,0.012
Orange,Fresh,20.6,57.8,179.6,19.9,4.1,4.4,3.2,0.234
Banana,Fresh,31.6,68.3,184.7,27.7,9.9,3.1,5.7,0.219
Orange,Moderately Fresh,20.5,79.0,430.1,57.8,23.4,11.8,27.4,0.304
Orange,Fresh,18.9,82.3,193.2,18.1,10.6,1.7,3.7,0.094
Orange,Spoiled,26.2,71.4,1963.0,871.3,299.7,116.6,223.7,0.919
Apple,Moderately Fresh,23.4,63.1,464.7,80.7,33.3,11.5,18.4,0.555
Apple,Fresh,16.3,87.1,203.0,15.1,11.3,2.3,6.1,0.078
